Price,Cup,Hero
2927.698574,24090,65
8783.095723,52005,83
9368.635438,40944,85
702.647658,21376,69
351.323829,4396,30
140.529532,42,6
351.323829,11318,46
468.431772,1700,25
702.647658,26357,66
409.8778,16000,49
5269.857434,28564,76
17566.191446,55000,85
1639.511202,19,53
175.661914,6800,43
2061.099796,14400,57
17566.191446,63000,81
1089.10387,30000,75
296.283096,4500,30
1405.295316,13411,38
468.431772,17500,51
2342.158859,31000,71
234.215886,6790,39
498.996945,5000,40
398.998473,4000,30
299.0,2000,20
128.818737,1319,28
585.539715,17934,46
40.98778,404,11
468.431772,17200,54
234.215886,9374,31
409.8778,10111,51
2342.158859,33131,81
2283.604888,35072,78
1932.281059,32924,73
2400.712831,38547,77
58.553971,328,5
350.152749,4398,33
5855.397149,50000,85
36082.959231,44500,69
195.570265,6531,39
235.386965,9945,45
182.688391,4368,40
1053.971487,30496,71
1053.971487,30529,67
1053.971487,30309,74
351.323829,15800,51
235.248778,1800,22
680.935845,17300,43
742.773523,20100,57
152.240326,2978,26
117.107943,788,20
4332.99389,19000,45
720.213849,5060,29
995.417515,22890,60
1522.403259,35000,71
819.755601,11250,33
585.539715,16000,49
2576.374745,37000,83
59.725051,317,10
148.46945,785,22
119.450102,700,23
1171.07943,27778,75
18737.270876,62290,85
995.417515,25367,64
995.417515,26705,71
644.093686,20264,49
585.539715,19100,64
468.431772,14400,44
35.132383,540,18
35.132383,600,17
491.85336,10624,35
1053.971487,34500,69
7494.90835,53600,83
702.647658,22280,65
11711.450102,68500,84
3864.562118,39000,82
1821.028513,20663,66
2862.118126,30594,72
1171.07943,35700,79
327.90224,899,20
585.539715,17431,65
585.539715,1158,20
142.87169,6313,32
9368.635438,46000,81
2.342159,1,1
585.539715,2000,30
585.539715,10720,45
351.323829,20070,49
4684.317719,31000,73
1522.403259,26000,79
9368.635438,74300,85
2576.374745,17000,52
292.769857,10278,42
351.323829,7000,41
269.348269,11500,39
2459.266802,34285,79
2927.698574,45000,85
1171.07943,18600,61
585.539715,8000,42
1191.271347,16660,67
585.539715,19242,59
727.999156,12880,48
2342.158859,30000,77
1999.995214,25280,77
1499.995825,24111,75
292.769857,542,23
819.755601,1018,31
1171.07943,19900,63
936.863544,6900,62
292.769857,677,25
1756.619145,28114,75
585.539715,22124,70
2342.158859,32000,79
1405.295316,25000,68
1171.07943,24369,57
1171.07943,25905,75
